"date","exp_condition","indivOrGroup","info_share_cost","confirmationID","amazonID","latency","totalEarning","bonus_for_waiting","completionFee","totalPayment","age","sex","country","q1","q2","q3","q4"
"20211119_1418","binary","-1","0","AYe8GvXg5mJbDSoyAABB","61064e7deec0cb6ea9071d9b","-1","0.00","0.03","0","0","18","1","NA","-1","-1","-1",""
"20211119_1418","binary","1","200","v81Y6cZFo8RHCaI6AAAM","59bb884a3c45a10001ccc4f7","-1","0.00","0.19","0","0.2","41","1","NA","-1","-1","-1","I didn't really understand the instructions"
"20211119_1418","binary","1","0","sJgbVymhjOO7Y5WgAAAq","612b6535031136e6d227fbd6","-1","0.00","0.17","0","0.2","20","1","NA","-1","-1","-1","Confused as to why I got kicked out of the study, I don't think the rules were very clear as I read them multiple times."
"20211119_1418","binary","1","20","4KvHGXuQL1R8expVAAAa","5836f2421bf4040001eb6a36","-1","0.00","0.18","0","0.2","58","1","NA","-1","-1","-1","I wonder whether there is an element of artifice in the task and the way in which it terminates?"
"20211119_1418","binary","1","0","ohbg06frrvXcXBRbAAAY","5a5f8c02acc75b00017ab214","-1","0.00","0.2","0","0.2","31","2","NA","-1","-1","-1",""
"20211119_1418","binary","1","20","3Y1tXr_LckZ1et2iAAA1","6154338edbb2b162894aaf9e","-1","0.00","0.19","0","0.2","28","2","NA","-1","-1","-1","the instructions were unclear i read them multiple times "
"20211119_1418","binary","1","20","CpIoK1Y3SgCb4TAuAAAv","5e2737725b323795f4add395","-1","0.00","0.19","0","0.2","23","1","NA","-1","-1","-1","The quiz should have been worded easier."
"20211119_1418","binary","1","0","67yKMHNtU6SiLG6aAABD","5a73080e82968f0001a6ce3d","-1","0.00","0.17","0","0.2","48","1","NA","-1","-1","-1",""
"20211119_1418","binary","1","0","cTVwkS4vxMs3wcWIAAA3","613a8ffdfa821fc499f88722","-1","0.00","0.19","0","0.2","26","1","NA","-1","-1","-1","Questionnaire did not reflect the prior stages. Very poor quiz "
"20211119_1418","binary","1","20","a119wHVQMe3JAYUTAAAV","5badf72e733441000102a34d","-1","0.00","0.19","0","0.2","63","1","NA","-1","-1","-1",""
"20211119_1418","binary","1","0","h7Gi5xS6sAoB5FwaAAAo","5fd8d15717934d09e3385daa","-1","0.00","0.19","0","0.2","35","2","NA","-1","-1","-1","Disappointed to be redirected to this page as I put a lot of concentration into the instructions and could not understand why they were being scored as incorrect (when I felt I had answered correctly and double checked when I read through again!)"
"20211119_1418","binary","1","20","cu7Z_MtpA7KlNnPFAAAu","5c4af962cb52c80001686594","-1","0.00","0.37","0","0.4","42","2","NA","-1","-1","-1","third question was confusing and comprehension quiz was not worded very well"
"20211119_1418","2","0","0","gw58xEeNbXNnXCgNAAAs","5c8541b79c5a3000016b2597","","2.17","0.18","0.8","3.2","48","1","NA","4","3","-1","Slot one seemed to pay more at first, not sure about long run."
"20211119_1418","2","1","200","3yjaKBQd4Xdd87rLAAAG","5edcf3276763349d23ae0c5a","","2.08","0.2","0.8","3.1","34","2","NA","4","5","3","Slot 1 seems to pay higher bonuses but not as consistent as Slot 2"
"20211119_1418","binary","1","200","ccInFVc5mCujQTVcAAAj","5be6ef463b047e0001a38a8a","-1","0.00","0.19","0","0.2","69","1","NA","-1","-1","-1","I do not think that the instructions were sufficiently clear or indeed logical."
"20211119_1418","2","1","200","yamJ5EtrbA8uQzZwAAAI","5d5952e7e1e7440016132cb5","","2.08","0.36","0.8","3.2","34","2","NA","3","3","2","The purple slot was giving out consistently above 100 - whereas the red from shared information was lower, as it was on each time i clicked it. "
"20211119_1418","binary","1","0","AR1FogNON_aV6F-vAABd","60df5e55e8cd8cf982579eb8","-1","0.00","0.09","0","0.1","19","1","NA","-1","-1","-1","I could not read the questionnaire as the writing was white with a white background"
"20211119_1418","2","1","200","4RqBZgtlY0xuVhDLAAAH","59662fb2ee166f0001959913","","2.08","0.27","0.8","3.2","41","3","NA","3","5","2","I tried to look for patterns in what came up and to see if the cost of sharing would be more than the cost of the bonus itself. If that was the case, I wouldn't share. "
"20211119_1418","2","1","200","CA1hLsMNZ6vjVeF9AAAK","60ca092ccef371e328226ad7","","2.08","0.33","0.8","3.2","19","2","NA","3","5","1","I just randomly clicked on them the majority of the time, but if someone shared info and their score was over 150 points I tended to go with that same slot machine."
"20211119_1418","2","1","200","L0uoRklTpXyDB1OwAAAL","57ea425e5b88f5000106bb9f","","2.08","0.37","0.8","3.3","53","1","NA","5","5","2","Tried both and went with the slot that appeared to be paying more (slot 1 to begin with but later slot 2).  Cost of sharing was too high (200). "
"20211119_1418","binary","1","20","xws537imNEgRo6_pAAAr","60fecaac6ada4383c646974c","-1","0.00","0.36","0","0.4","27","2","NA","-1","-1","-1",""
"20211119_1418","binary","1","0","Ox40uK_7wpWdIb34AABH","6109643f5d7f987c6400fb4a","-1","0.00","0.16","0","0.2","41","2","NA","-1","-1","-1","The comprehension questions were really ambiguous and not really well worded, and i answered them how i understood the instructions. so not sure what you wanted me to put"
"20211119_1418","binary","1","20","x8PsLGtDYr4FK0QnAAAC","5875778b5c17910001ea4f35","-1","0.88","0.61","0","1.5","41","1","NA","-1","-1","-1",""
