"date","exp_condition","indivOrGroup","info_share_cost","confirmationID","amazonID","latency","totalEarning","bonus_for_waiting","completionFee","totalPayment","age","sex","country","q1","q2","q3","q4"
"20211119_0847","binary","1","200","rFiYtPadk5cBc-mPAAAL","5a4937631950a80001e7d0e4","-1","0.00","0.03","0","0","31","2","NA","-1","-1","-1","the link didn't load so that is why i was trying to see what was wrong with the task"
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","36","2","NA","-1","-1","-1","I didn't get to choose any slots. "
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","19","1","NA","-1","-1","-1","Study did not run"
"20211119_0847","binary","-1","20","zfcme76KWODftHVaAAAb","60e778bc34513cf9744eee56","-1","0.00","0.07","0","0.1","29","2","NA","-1","-1","-1",""
"20211119_0847","binary","1","20","HibYL8oAfu6zfb-VAAAQ","6101ab943961ab6022c9d969","-1","0.00","0.11","0","0.1","46","2","NA","-1","-1","-1","Looked fun"
"20211119_0847","4","1","0","oq_NAzM2iUvyWtZuAAAB","615c100bc96ed7f86c2ee521","","2.06","0.38","0.8","3.2","39","1","NA","2","5","1","i decided to pick slot 2 every single time before i started, and only shared with members when it cost nothing."
"20211119_0847","4","1","0","tgNX2-PID9MgGx6WAAAC","5ea043f2618bcf041cb4c245","","2.06","0.01","0.8","2.9","29","2","NA","5","5","-1","i mainly stuck with option A when i did change the number went down so i stuck with A"
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","24","1","NA","-1","-1","-1",""
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","50","2","NA","-1","-1","-1","randomly"
"20211119_0847","binary","1","200","o21cjwxpdbQaRyzUAAAW","574188c0a0a4b2000fb03005","-1","0.00","0.11","0","0.1","58","2","NA","-1","-1","-1","I did not open another tab. My doorbell rang so I closed my tablet to answer the door!!!!!!"
"20211119_0847","2","1","20","5aw3fmuajcWa06XpAAAF","603cf2a6686c57b11af39499","","2.25","0.36","0.8","3.4","32","1","NA","5","4","1","I shared more early on on the assumption that a pattern could be found. however it became clear that we would not find a pattern and that sharing was losing points rather than making everyone choose correctly."
"20211119_0847","2","1","20","2ju6sufizjxL3QOTAAAG","5c48456991d23d0001b898f5","","2.25","0.42","0.8","3.5","33","1","NA","5","4","4","I started with a mixture of choices to see which had the higher pay-out (opt 2) then stuck with that, only sharing the information when it was a high pay-out in hopes others would choose it too."
"20211119_0847","2","1","20","K2_pOOHqwOCEHscQAAAD","61707ac3698c2fbbb5aaad52","","2.25","0.22","0.8","3.3","32","2","NA","4","5","3","If the shared amount was a large figure i would chose the opposite slot, if no amounts were shared i would alternate between the slots depending on how many points the last chosen slot gave. 
I only shared the information if the points were a large figure "
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","42","2","NA","-1","-1","-1","I didn't get chance to play"
"20211119_0847","1","1","200","d1KiToMjJFZv5MKQAAAM","5d31c6bac88f0e00164c3ccb","","2.07","0.38","0.8","3.3","31","1","NA","4","5","1","equal, 30 slots right, 30 slots left, no share information at all."
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","42","1","NA","-1","-1","-1","I selected randomly"
"20211119_0847","binary","1","20","0opNSz2GpbNtJEZ3AAAe","5e43e3fdb58b932646448d07","-1","0.00","0.14","0","0.1","33","2","NA","-1","-1","-1","I went to drag the tab out of the browser to make it full screen, and it kicked me out of the experiment - I didn't open another window or tab"
"20211119_0847","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","[object HTMLInputElement]","NaN","NaN","0","NaN","20","2","NA","-1","-1","-1","I did not work on the task"
"20211119_0847","1","1","20","b5dANjdQTOueUXn7AAAT","607ebda28cf7e38fa0160295","","2.11","0.46","0.8","3.4","21","1","NA","3","5","3","if it had a nubmer above 150 on it i chose that one"
"20211119_0847","1","1","20","KoQp_Xf0QUaNFkXrAAAO","5d3f3b6684e7500019d28684","","2.11","0.55","0.8","3.5","39","2","NA","5","4","3","random selection, and i shared when the reward was high"
"20211119_0847","4","1","20","4JVC9U5u9P9dpKIjAAAf","5da638acf0ff1c001419fd91","","1.97","0.47","0.8","3.2","31","1","NA","5","4","5","Based on information from the others and based on past trials. I shared info if I got a low reward or a particularly high one. If it was a middle amount I chose not to share info."
"20211119_0847","4","1","20","Dnq2rWMDAHn0JcKBAAAa","5d9d94f373de94001216cbab","","1.97","0.39","0.8","3.2","46","1","NA","4","2","4","If I was given numbers by the others and it was high i'd choose that one. If it was low I'd chose the other one. If no numbers were given I'd alternate between machines."
"20211119_0847","4","1","20","45ZyVppXTfj9n5GUAAAc","60d4afb076d3ac29f2c78075","","1.97","0.28","0.8","3.1","51","1","NA","5","2","4","If it was a high or low amount I shared"
"20211119_0847","1","1","20","6nzfYlv27fbuZBOZAAAP","5f6c61f8d9012d1e8c0c8d11","","2.11","0.27","0.8","3.2","26","1","NA","5","-1","4","Slot 2 was the consistent winner and i only went for Slot 1 if someone had a high payout from it. I shared info on slot 1 if i got a high payout or consecutive low payouts"
